State,Year,Total Employed RN,Hourly Wage Avg,Annual Salary Avg,FIPS
Alabama,2020,48850.0,28.96,60230.0,1.0
Alaska,2020,6240.0,45.81,95270.0,2.0
Arizona,2020,55520.0,38.64,80380.0,4.0
Arkansas,2020,25300.0,30.6,63640.0,5.0
California,2020,307060.0,57.96,120560.0,6.0
Colorado,2020,52330.0,37.43,77860.0,8.0
Connecticut,2020,33400.0,40.79,84850.0,9.0
Delaware,2020,11410.0,35.74,74330.0,10.0
Florida,2020,183130.0,33.42,69510.0,12.0
Georgia,2020,73230.0,34.38,71510.0,13.0
Hawaii,2020,11260.0,50.4,104830.0,15.0
Idaho,2020,12800.0,34.44,71640.0,16.0
Illinois,2020,127450.0,35.85,74560.0,17.0
Indiana,2020,66460.0,32.45,67490.0,18.0
Iowa,2020,32610.0,30.08,62570.0,19.0
Kansas,2020,29430.0,30.87,64200.0,20.0
Kentucky,2020,42940.0,31.12,64730.0,21.0
Louisiana,2020,41690.0,32.7,68010.0,22.0
Maine,2020,14160.0,34.16,71040.0,23.0
Maryland,2020,51480.0,39.23,81590.0,24.0
Massachusetts,2020,84030.0,46.27,96250.0,25.0
Michigan,2020,97820.0,35.57,73980.0,26.0
Minnesota,2020,70820.0,38.92,80960.0,27.0
Mississippi,2020,28800.0,29.45,61250.0,28.0
Missouri,2020,71560.0,31.68,65900.0,29.0
Montana,2020,9980.0,33.91,70530.0,30.0
Nebraska,2020,24060.0,33.41,69480.0,31.0
Nevada,2020,23420.0,43.15,89750.0,32.0
New Hampshire,2020,13840.0,36.52,75970.0,33.0
New Jersey,2020,78590.0,41.21,85720.0,34.0
New Mexico,2020,17100.0,36.4,75700.0,35.0
New York,2020,178550.0,43.16,89760.0,36.0
North Carolina,2020,99110.0,33.15,68950.0,37.0
North Dakota,2020,9970.0,33.47,69630.0,38.0
Ohio,2020,129090.0,33.53,69750.0,39.0
Oklahoma,2020,32950.0,32.02,66600.0,40.0
Oregon,2020,36840.0,46.27,96230.0,41.0
Pennsylvania,2020,146640.0,35.66,74170.0,42.0
Rhode Island,2020,12150.0,39.81,82790.0,44.0
South Carolina,2020,45930.0,32.28,67140.0,45.0
South Dakota,2020,13130.0,29.31,60960.0,46.0
Tennessee,2020,61040.0,30.83,64120.0,47.0
Texas,2020,219330.0,36.92,76800.0,48.0
Utah,2020,23690.0,33.83,70370.0,49.0
Vermont,2020,6810.0,34.68,72140.0,50.0
Virginia,2020,66450.0,35.76,74380.0,51.0
Washington,2020,59300.0,43.9,91310.0,53.0
West Virginia,2020,19800.0,31.31,65130.0,54.0
Wisconsin,2020,63630.0,35.94,74760.0,55.0
Wyoming,2020,5010.0,34.9,72600.0,56.0
Alabama,2018,49490.0,28.59,59470.0,1.0
Alaska,2018,5730.0,42.94,89310.0,2.0
Arizona,2018,54690.0,37.02,77000.0,4.0
Arkansas,2018,25380.0,29.22,60780.0,5.0
California,2018,294510.0,51.42,106950.0,6.0
Colorado,2018,51760.0,35.69,74240.0,8.0
Connecticut,2018,31400.0,39.05,81220.0,9.0
Delaware,2018,11840.0,35.96,74800.0,10.0
Florida,2018,177600.0,31.83,66210.0,12.0
Georgia,2018,76640.0,33.15,68950.0,13.0
Hawaii,2018,11310.0,47.16,98080.0,15.0
Idaho,2018,13790.0,32.26,67110.0,16.0
Illinois,2018,129400.0,35.53,73890.0,17.0
Indiana,2018,67870.0,31.18,64860.0,18.0
Iowa,2018,33770.0,28.43,59130.0,19.0
Kansas,2018,27810.0,29.34,61030.0,20.0
Kentucky,2018,46130.0,30.34,63100.0,21.0
Louisiana,2018,43110.0,30.76,63970.0,22.0
Maine,2018,14460.0,32.51,67610.0,23.0
Maryland,2018,54080.0,36.93,76820.0,24.0
Massachusetts,2018,80630.0,44.3,92140.0,25.0
Michigan,2018,96680.0,34.29,71330.0,26.0
Minnesota,2018,69000.0,37.94,78920.0,27.0
Mississippi,2018,29860.0,28.12,58490.0,28.0
Missouri,2018,71770.0,31.31,65130.0,29.0
Montana,2018,10100.0,32.43,67450.0,30.0
Nebraska,2018,22970.0,31.0,64470.0,31.0
Nevada,2018,22560.0,41.16,85620.0,32.0
New Hampshire,2018,13630.0,34.98,72760.0,33.0
New Jersey,2018,79530.0,39.78,82750.0,34.0
New Mexico,2018,16730.0,34.49,71730.0,35.0
New York,2018,182490.0,41.16,85610.0,36.0
North Carolina,2018,102500.0,31.18,64850.0,37.0
North Dakota,2018,8770.0,31.61,65740.0,38.0
Ohio,2018,125380.0,32.13,66820.0,39.0
Oklahoma,2018,29330.0,30.33,63080.0,40.0
Oregon,2018,36020.0,43.79,91080.0,41.0
Pennsylvania,2018,148520.0,33.84,70390.0,42.0
Rhode Island,2018,12630.0,37.7,78420.0,44.0
South Carolina,2018,44350.0,31.22,64940.0,45.0
South Dakota,2018,12760.0,28.05,58340.0,46.0
Tennessee,2018,60360.0,29.48,61320.0,47.0
Texas,2018,210350.0,35.04,72890.0,48.0
Utah,2018,21700.0,31.57,65670.0,49.0
Vermont,2018,6460.0,33.25,69160.0,50.0
Virginia,2018,64750.0,33.55,69790.0,51.0
Washington,2018,56290.0,39.75,82670.0,53.0
West Virginia,2018,19930.0,29.7,61780.0,54.0
Wisconsin,2018,59030.0,34.36,71470.0,55.0
Wyoming,2018,5010.0,32.38,67360.0,56.0
Alabama,2015,44000.0,27.35,56890.0,1.0
Alaska,2015,5910.0,42.55,88510.0,2.0
Arizona,2015,49800.0,34.51,71790.0,4.0
Arkansas,2015,22480.0,27.34,56870.0,5.0
California,2015,255010.0,48.68,101260.0,6.0
Colorado,2015,45760.0,33.65,69990.0,8.0
Connecticut,2015,32440.0,37.18,77330.0,9.0
Delaware,2015,10370.0,34.33,71410.0,10.0
Florida,2015,168870.0,30.75,63960.0,12.0
Georgia,2015,68980.0,30.38,63190.0,13.0
Hawaii,2015,10990.0,43.33,90130.0,15.0
Idaho,2015,12140.0,29.46,61280.0,16.0
Illinois,2015,113040.0,33.54,69760.0,17.0
Indiana,2015,60890.0,28.32,58910.0,18.0
Iowa,2015,31630.0,26.46,55040.0,19.0
Kansas,2015,27200.0,27.6,57410.0,20.0
Kentucky,2015,43630.0,28.26,58770.0,21.0
Louisiana,2015,42270.0,30.03,62450.0,22.0
Maine,2015,14210.0,30.92,64310.0,23.0
Maryland,2015,51100.0,35.19,73200.0,24.0
Massachusetts,2015,83780.0,42.62,88650.0,25.0
Michigan,2015,91130.0,32.54,67690.0,26.0
Minnesota,2015,59640.0,34.77,72310.0,27.0
Mississippi,2015,27810.0,27.39,56980.0,28.0
Missouri,2015,65860.0,28.44,59150.0,29.0
Montana,2015,9640.0,30.12,62650.0,30.0
Nebraska,2015,20600.0,28.35,58970.0,31.0
Nevada,2015,19470.0,39.16,81460.0,32.0
New Hampshire,2015,12720.0,32.3,67190.0,33.0
New Jersey,2015,78460.0,38.38,79840.0,34.0
New Mexico,2015,15110.0,31.74,66030.0,35.0
New York,2015,171880.0,37.96,78950.0,36.0
North Carolina,2015,95670.0,29.07,60460.0,37.0
North Dakota,2015,8370.0,28.31,58890.0,38.0
Ohio,2015,126270.0,30.19,62800.0,39.0
Oklahoma,2015,26080.0,28.39,59040.0,40.0
Oregon,2015,32490.0,40.29,83800.0,41.0
Pennsylvania,2015,136090.0,32.47,67550.0,42.0
Rhode Island,2015,11950.0,36.74,76410.0,44.0
South Carolina,2015,42440.0,29.38,61110.0,45.0
South Dakota,2015,11950.0,26.49,55100.0,46.0
Tennessee,2015,55710.0,27.67,57560.0,47.0
Texas,2015,198650.0,33.6,69890.0,48.0
Utah,2015,19930.0,29.33,61000.0,49.0
Vermont,2015,6360.0,31.65,65840.0,50.0
Virginia,2015,63340.0,31.41,65340.0,51.0
Washington,2015,52880.0,37.56,78130.0,53.0
West Virginia,2015,20020.0,27.89,58010.0,54.0
Wisconsin,2015,55460.0,31.94,66440.0,55.0
Wyoming,2015,4910.0,29.84,62080.0,56.0
Alabama,2013,43600.0,26.86,55870.0,1.0
Alaska,2013,5790.0,40.21,83640.0,2.0
Arizona,2013,46290.0,34.34,71430.0,4.0
Arkansas,2013,23480.0,27.0,56150.0,5.0
California,2013,252940.0,46.62,96980.0,6.0
Colorado,2013,41860.0,33.16,68980.0,8.0
Connecticut,2013,34820.0,36.67,76280.0,9.0
Delaware,2013,9740.0,33.97,70660.0,10.0
Florida,2013,162530.0,29.84,62060.0,12.0
Georgia,2013,66080.0,29.63,61630.0,13.0
Hawaii,2013,10300.0,41.05,85380.0,15.0
Idaho,2013,12150.0,28.74,59770.0,16.0
Illinois,2013,109480.0,32.08,66730.0,17.0
Indiana,2013,59730.0,28.04,58320.0,18.0
Iowa,2013,32100.0,25.73,53520.0,19.0
Kansas,2013,26940.0,27.12,56410.0,20.0
Kentucky,2013,42400.0,27.65,57520.0,21.0
Louisiana,2013,40600.0,29.7,61780.0,22.0
Maine,2013,13890.0,30.12,62640.0,23.0
Maryland,2013,46070.0,34.18,71100.0,24.0
Massachusetts,2013,79270.0,40.25,83720.0,25.0
Michigan,2013,91840.0,31.64,65820.0,26.0
Minnesota,2013,57920.0,34.21,71160.0,27.0
Mississippi,2013,27590.0,27.18,56530.0,28.0
Missouri,2013,64870.0,27.9,58040.0,29.0
Montana,2013,9040.0,29.18,60700.0,30.0
Nebraska,2013,19550.0,27.37,56920.0,31.0
Nevada,2013,17160.0,37.89,78800.0,32.0
New Hampshire,2013,12180.0,31.03,64540.0,33.0
New Jersey,2013,75410.0,37.19,77360.0,34.0
New Mexico,2013,14540.0,31.2,64900.0,35.0
New York,2013,169820.0,36.29,75470.0,36.0
North Carolina,2013,88350.0,28.51,59290.0,37.0
North Dakota,2013,7750.0,26.94,56030.0,38.0
Ohio,2013,124400.0,29.69,61750.0,39.0
Oklahoma,2013,25960.0,27.47,57130.0,40.0
Oregon,2013,28490.0,38.67,80440.0,41.0
Pennsylvania,2013,124750.0,31.74,66010.0,42.0
Rhode Island,2013,11570.0,35.62,74080.0,44.0
South Carolina,2013,41950.0,28.69,59670.0,45.0
South Dakota,2013,11540.0,25.51,53050.0,46.0
Tennessee,2013,57760.0,27.27,56730.0,47.0
Texas,2013,190090.0,32.62,67860.0,48.0
Utah,2013,18550.0,28.89,60090.0,49.0
Vermont,2013,6710.0,30.41,63260.0,50.0
Virginia,2013,60120.0,30.36,63150.0,51.0
Washington,2013,53060.0,36.74,76420.0,53.0
West Virginia,2013,18440.0,26.56,55240.0,54.0
Wisconsin,2013,56870.0,30.99,64460.0,55.0
Wyoming,2013,4500.0,29.56,61480.0,56.0
Alabama,2012,43760.0,26.57,55270.0,1.0
Alaska,2012,5350.0,38.93,80970.0,2.0
Arizona,2012,45600.0,34.32,71390.0,4.0
Arkansas,2012,23480.0,26.62,55360.0,5.0
California,2012,249980.0,45.25,94120.0,6.0
Colorado,2012,41380.0,32.66,67920.0,8.0
Connecticut,2012,34820.0,36.37,75660.0,9.0
Delaware,2012,9660.0,34.05,70820.0,10.0
Florida,2012,163720.0,29.7,61780.0,12.0
Georgia,2012,64180.0,29.22,60770.0,13.0
Hawaii,2012,10060.0,40.74,84750.0,15.0
Idaho,2012,11420.0,28.42,59100.0,16.0
Illinois,2012,114730.0,31.86,66260.0,17.0
Indiana,2012,58430.0,27.65,57520.0,18.0
Iowa,2012,32170.0,25.26,52540.0,19.0
Kansas,2012,26380.0,26.94,56040.0,20.0
Kentucky,2012,42920.0,27.65,57510.0,21.0
Louisiana,2012,40180.0,29.45,61260.0,22.0
Maine,2012,14260.0,29.18,60700.0,23.0
Maryland,2012,45630.0,34.18,71090.0,24.0
Massachusetts,2012,79570.0,40.08,83370.0,25.0
Michigan,2012,90540.0,30.97,64430.0,26.0
Minnesota,2012,54940.0,34.03,70780.0,27.0
Mississippi,2012,28200.0,27.76,57740.0,28.0
Missouri,2012,65260.0,27.4,56990.0,29.0
Montana,2012,8400.0,28.81,59920.0,30.0
Nebraska,2012,18590.0,27.09,56350.0,31.0
Nevada,2012,16790.0,37.44,77870.0,32.0
New Hampshire,2012,12530.0,30.73,63920.0,33.0
New Jersey,2012,74700.0,36.45,75820.0,34.0
New Mexico,2012,14780.0,32.07,66710.0,35.0
New York,2012,166950.0,35.63,74100.0,36.0
North Carolina,2012,86240.0,28.25,58760.0,37.0
North Dakota,2012,7580.0,25.73,53520.0,38.0
Ohio,2012,120460.0,29.31,60970.0,39.0
Oklahoma,2012,26850.0,26.91,55980.0,40.0
Oregon,2012,28840.0,37.75,78530.0,41.0
Pennsylvania,2012,125220.0,31.25,65000.0,42.0
Rhode Island,2012,11840.0,35.13,73070.0,44.0
South Carolina,2012,41870.0,28.33,58940.0,45.0
South Dakota,2012,11030.0,25.39,52800.0,46.0
Tennessee,2012,55580.0,26.83,55800.0,47.0
Texas,2012,187290.0,31.9,66350.0,48.0
Utah,2012,17920.0,28.76,59810.0,49.0
Vermont,2012,6310.0,30.46,63350.0,50.0
Virginia,2012,58650.0,30.31,63050.0,51.0
Washington,2012,51060.0,36.22,75350.0,53.0
West Virginia,2012,17440.0,26.2,54490.0,54.0
Wisconsin,2012,54640.0,30.77,64000.0,55.0
Wyoming,2012,4460.0,29.18,60690.0,56.0
Alabama,2019,49190.0,28.96,60230.0,1.0
Alaska,2019,6210.0,43.51,90500.0,2.0
Arizona,2019,54590.0,37.66,78330.0,4.0
Arkansas,2019,25210.0,29.49,61330.0,5.0
California,2019,302770.0,54.44,113240.0,6.0
Colorado,2019,52510.0,36.65,76230.0,8.0
Connecticut,2019,34740.0,40.12,83440.0,9.0
Delaware,2019,11730.0,35.63,74100.0,10.0
Florida,2019,181670.0,32.5,67610.0,12.0
Georgia,2019,75430.0,33.46,69590.0,13.0
Hawaii,2019,11330.0,50.03,104060.0,15.0
Idaho,2019,14110.0,33.4,69480.0,16.0
Illinois,2019,129530.0,35.34,73510.0,17.0
Indiana,2019,67510.0,32.0,66560.0,18.0
Iowa,2019,32980.0,29.13,60590.0,19.0
Kansas,2019,30370.0,30.02,62450.0,20.0
Kentucky,2019,43840.0,30.65,63750.0,21.0
Louisiana,2019,40870.0,31.66,65850.0,22.0
Maine,2019,14490.0,33.54,69760.0,23.0
Maryland,2019,53150.0,37.46,77910.0,24.0
Massachusetts,2019,81020.0,44.79,93160.0,25.0
Michigan,2019,96900.0,35.19,73200.0,26.0
Minnesota,2019,71000.0,38.52,80130.0,27.0
Mississippi,2019,29550.0,28.73,59750.0,28.0
Missouri,2019,68840.0,30.85,64160.0,29.0
Montana,2019,10310.0,33.34,69340.0,30.0
Nebraska,2019,23800.0,32.04,66640.0,31.0
Nevada,2019,22940.0,42.49,88380.0,32.0
New Hampshire,2019,14320.0,35.52,73880.0,33.0
New Jersey,2019,80140.0,40.52,84280.0,34.0
New Mexico,2019,17350.0,35.24,73300.0,35.0
New York,2019,178320.0,42.23,87840.0,36.0
North Carolina,2019,99960.0,31.94,66440.0,37.0
North Dakota,2019,9750.0,31.87,66290.0,38.0
Ohio,2019,125470.0,32.8,68220.0,39.0
Oklahoma,2019,31350.0,31.15,64800.0,40.0
Oregon,2019,36660.0,44.69,92960.0,41.0
Pennsylvania,2019,148040.0,34.33,71410.0,42.0
Rhode Island,2019,12630.0,39.57,82310.0,44.0
South Carolina,2019,46860.0,31.17,64840.0,45.0
South Dakota,2019,12950.0,28.63,59540.0,46.0
Tennessee,2019,63330.0,30.08,62570.0,47.0
Texas,2019,218090.0,35.84,74540.0,48.0
Utah,2019,21650.0,32.68,67970.0,49.0
Vermont,2019,7020.0,33.77,70240.0,50.0
Virginia,2019,66040.0,34.56,71870.0,51.0
Washington,2019,58000.0,41.43,86170.0,53.0
West Virginia,2019,19830.0,30.39,63220.0,54.0
Wisconsin,2019,61930.0,34.91,72610.0,55.0
Wyoming,2019,5120.0,33.03,68690.0,56.0
Alabama,2009,42880.0,27.82,57860.0,1.0
Alaska,2009,5010.0,36.04,74970.0,2.0
Arizona,2009,38570.0,32.27,67130.0,4.0
Arkansas,2009,23050.0,27.42,57040.0,5.0
California,2009,233030.0,40.9,85080.0,6.0
Colorado,2009,41750.0,32.12,66800.0,8.0
Connecticut,2009,35790.0,34.58,71930.0,9.0
Delaware,2009,10220.0,34.02,70770.0,10.0
Florida,2009,150940.0,29.94,62270.0,12.0
Georgia,2009,65370.0,29.3,60940.0,13.0
Hawaii,2009,8930.0,38.47,80020.0,15.0
Idaho,2009,10540.0,29.48,61320.0,16.0
Illinois,2009,116340.0,31.46,65440.0,17.0
Indiana,2009,57880.0,27.84,57910.0,18.0
Iowa,2009,30750.0,24.97,51930.0,19.0
Kansas,2009,26320.0,26.79,55730.0,20.0
Kentucky,2009,43250.0,27.94,58110.0,21.0
Louisiana,2009,39560.0,28.99,60290.0,22.0
Maine,2009,14410.0,31.37,65240.0,23.0
Maryland,2009,51620.0,36.7,76330.0,24.0
Massachusetts,2009,83060.0,39.32,81780.0,25.0
Michigan,2009,84620.0,30.82,64100.0,26.0
Minnesota,2009,57560.0,34.98,72760.0,27.0
Mississippi,2009,28030.0,27.7,57630.0,28.0
Missouri,2009,62130.0,27.62,57460.0,29.0
Montana,2009,8340.0,27.1,56380.0,30.0
Nebraska,2009,18930.0,26.46,55040.0,31.0
Nevada,2009,16100.0,35.07,72940.0,32.0
New Hampshire,2009,13330.0,29.84,62060.0,33.0
New Jersey,2009,74730.0,36.05,74990.0,34.0
New Mexico,2009,12340.0,30.55,63550.0,35.0
New York,2009,165730.0,34.99,72790.0,36.0
North Carolina,2009,88190.0,28.31,58880.0,37.0
North Dakota,2009,6260.0,26.98,56110.0,38.0
Ohio,2009,117870.0,28.72,59740.0,39.0
Oklahoma,2009,27340.0,25.58,53210.0,40.0
Oregon,2009,30730.0,35.24,73300.0,41.0
Pennsylvania,2009,129810.0,30.58,63600.0,42.0
Rhode Island,2009,11630.0,33.09,68830.0,44.0
South Carolina,2009,38020.0,28.69,59680.0,45.0
South Dakota,2009,10530.0,25.73,53520.0,46.0
Tennessee,2009,61980.0,28.62,59520.0,47.0
Texas,2009,168020.0,31.09,64670.0,48.0
Utah,2009,17670.0,28.54,59370.0,49.0
Vermont,2009,5680.0,30.4,63230.0,50.0
Virginia,2009,60230.0,30.42,63270.0,51.0
Washington,2009,54260.0,34.83,72450.0,53.0
West Virginia,2009,17340.0,25.5,53030.0,54.0
Wisconsin,2009,53510.0,30.39,63200.0,55.0
Wyoming,2009,4700.0,27.91,58060.0,56.0
Alabama,2008,41560.0,27.25,56670.0,1.0
Alaska,2008,5350.0,35.01,72820.0,2.0
Arizona,2008,37780.0,31.12,64740.0,4.0
Arkansas,2008,23000.0,26.58,55280.0,5.0
California,2008,240470.0,39.92,83040.0,6.0
Colorado,2008,39440.0,30.91,64280.0,8.0
Connecticut,2008,35370.0,33.82,70350.0,9.0
Delaware,2008,9060.0,33.13,68900.0,10.0
Florida,2008,146040.0,29.46,61290.0,12.0
Georgia,2008,64920.0,28.83,59960.0,13.0
Hawaii,2008,8760.0,37.47,77950.0,15.0
Idaho,2008,10850.0,27.78,57770.0,16.0
Illinois,2008,108820.0,30.78,64020.0,17.0
Indiana,2008,56500.0,27.48,57160.0,18.0
Iowa,2008,30170.0,24.37,50700.0,19.0
Kansas,2008,25020.0,26.2,54500.0,20.0
Kentucky,2008,41080.0,27.3,56780.0,21.0
Louisiana,2008,39610.0,28.52,59320.0,22.0
Maine,2008,14050.0,28.61,59520.0,23.0
Maryland,2008,50780.0,35.75,74370.0,24.0
Massachusetts,2008,79670.0,38.17,79390.0,25.0
Michigan,2008,86580.0,30.34,63100.0,26.0
Minnesota,2008,55730.0,33.92,70560.0,27.0
Mississippi,2008,27350.0,27.0,56160.0,28.0
Missouri,2008,60100.0,27.24,56670.0,29.0
Montana,2008,7480.0,26.47,55060.0,30.0
Nebraska,2008,18930.0,25.71,53490.0,31.0
Nevada,2008,15950.0,33.99,70700.0,32.0
New Hampshire,2008,13110.0,28.95,60210.0,33.0
New Jersey,2008,75590.0,35.03,72870.0,34.0
New Mexico,2008,11900.0,29.73,61830.0,35.0
New York,2008,168850.0,35.17,73160.0,36.0
North Carolina,2008,84230.0,27.78,57790.0,37.0
North Dakota,2008,6340.0,26.57,55260.0,38.0
Ohio,2008,114930.0,28.25,58750.0,39.0
Oklahoma,2008,26760.0,24.94,51880.0,40.0
Oregon,2008,29980.0,34.23,71210.0,41.0
Pennsylvania,2008,129060.0,29.51,61390.0,42.0
Rhode Island,2008,11360.0,32.6,67810.0,44.0
South Carolina,2008,36880.0,27.7,57610.0,45.0
South Dakota,2008,10010.0,25.29,52600.0,46.0
Tennessee,2008,61570.0,28.37,59000.0,47.0
Texas,2008,164400.0,29.7,61780.0,48.0
Utah,2008,17230.0,27.91,58050.0,49.0
Vermont,2008,5900.0,29.14,60610.0,50.0
Virginia,2008,60040.0,29.7,61780.0,51.0
Washington,2008,52020.0,34.2,71140.0,53.0
West Virginia,2008,16910.0,25.16,52340.0,54.0
Wisconsin,2008,51700.0,29.88,62140.0,55.0
Wyoming,2008,4300.0,26.39,54880.0,56.0
Alabama,2010,44300.0,27.81,57850.0,1.0
Alaska,2010,5150.0,38.15,79350.0,2.0
Arizona,2010,41730.0,33.76,70220.0,4.0
Arkansas,2010,23730.0,27.16,56500.0,5.0
California,2010,240030.0,42.06,87480.0,6.0
Colorado,2010,41960.0,32.35,67280.0,8.0
Connecticut,2010,35310.0,35.51,73860.0,9.0
Delaware,2010,9900.0,34.1,70920.0,10.0
Florida,2010,158390.0,30.29,63010.0,12.0
Georgia,2010,65390.0,29.65,61670.0,13.0
Hawaii,2010,9390.0,39.48,82130.0,15.0
Idaho,2010,10820.0,30.15,62720.0,16.0
Illinois,2010,120810.0,32.05,66660.0,17.0
Indiana,2010,60300.0,27.8,57820.0,18.0
